platform,account_name,dv01_id,as_of_date,loan_term_orig,loan_origination_date,loan_payment_date_first_contractual,loan_maturity_date_orig,loan_age,rem_term,fico_orig,home_ownership,inquiries_last_6_months,delinq_accts_2_years,number_tl_open_last_12_months,annual_inc,annual_inc_verified,credit_age,bc_utilization,revolving_utilization,state_borr,employ_status,job_length,loan_purpose,loan_rate_gross_orig,apr,eop_status,dti_orig,loan_grade,loan_ever_modified,loan_balance_orig,eop_balance,loan_payment_scheduled_amt_orig,pti_orig,dti_plus_pti_orig,eop_days_past_due
Prosper,PAR_2026_1,2477602,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,730,,,,,,No,,,,,,,Debt Consolidation,0.1104,0.0092,Current,0.3414,PP-A,0,26084.12,26084.12,567.65,,0.3414,0
Prosper,PAR_2026_1,2469178,12/31/2025,24,12/9/2025,1/9/2026,12/9/2027,0,24,775,,,,,,No,,,,,,,Home Improvement,0.0799,0.00666,Current,0.1296,PP-AA,0,20202.02,20202.02,913.59,,0.1296,0
Prosper,PAR_2026_1,2471840,12/31/2025,36,12/23/2025,1/23/2026,12/23/2028,0,36,733,,,,,,No,,,,,,,Debt Consolidation,0.0819,0.00683,Current,0.3263,PP-AA,1,6000,6000,188.54,,0.3263,0
Prosper,PAR_2026_1,2470794,12/31/2025,60,12/22/2025,1/22/2026,12/22/2030,0,60,785,,,,,,No,,,,,,,Debt Consolidation,0.105,0.00875,Current,0.2096,PP-A,0,44500,44500,956.48,,0.2096,0
Prosper,PAR_2026_1,2474292,12/31/2025,60,12/29/2025,1/29/2026,12/29/2030,0,60,718,,,,,,No,,,,,,,Debt Consolidation,0.2088,0.0174,Current,0.5027,PP-D,0,7221.42,7221.42,194.88,,0.5027,0
Prosper,PAR_2026_1,2475444,12/31/2025,36,12/30/2025,1/30/2026,12/30/2028,0,36,660,,,,,,No,,,,,,,Household Expenses,0.277,0.02308,Current,0.1313,PP-E,0,5554.94,5554.94,228.87,,0.1313,0
Prosper,PAR_2026_1,2463063,12/31/2025,36,12/9/2025,1/9/2026,12/9/2028,0,36,635,,,,,,No,,,,,,,Debt Consolidation,0.277,0.02308,Current,0.2703,PP-E,0,9000,9000,370.82,,0.2703,0
Prosper,PAR_2026_1,2470872,12/31/2025,60,12/22/2025,1/22/2026,12/22/2030,0,60,710,,,,,,No,,,,,,,Debt Consolidation,0.0986,0.00822,Current,0.26,PP-A,0,15759.16,15759.16,333.75,,0.26,0
Prosper,PAR_2026_1,2477662,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,713,,,,,,No,,,,,,,Other,0.1315,0.01096,Current,0.1484,PP-B,0,18000,18000,410.94,,0.1484,0
Prosper,PAR_2026_1,2466971,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,736,,,,,,No,,,,,,,Debt Consolidation,0.0994,0.00828,Current,0.1545,PP-A,0,6521.03,6521.03,138.36,,0.1545,0
Prosper,PAR_2026_1,2473864,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,736,,,,,,No,,,,,,,Other,0.1303,0.01086,Current,0.1733,PP-B,0,4000,4000,91.07,,0.1733,0
Prosper,PAR_2026_1,2465884,12/31/2025,24,12/3/2025,1/3/2026,12/3/2027,0,15,651,,,,,,No,,,,,,,Debt Consolidation,0.1918,0.01598,Current,0.26,PP-C,1,6000,4081.969979,302.98,,0.26,0
Prosper,PAR_2026_1,2472096,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,743,,,,,,No,,,,,,,Debt Consolidation,0.2344,0.01953,Current,0.3857,PP-D,1,12000,12000,341.33,,0.3857,0
Prosper,PAR_2026_1,2474333,12/31/2025,60,12/29/2025,1/29/2026,12/29/2030,0,60,712,,,,,,No,,,,,,,Debt Consolidation,0.0986,0.00822,Current,0.1446,PP-A,0,12498.64,12498.64,264.7,,0.1446,0
Prosper,PAR_2026_1,2475710,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,752,,,,,,No,,,,,,,Home Improvement,0.1486,0.01238,Current,0.3464,PP-B,1,42000,42000,996.09,,0.3464,0
Prosper,PAR_2026_1,2464675,12/31/2025,60,12/1/2025,1/1/2026,12/1/2030,0,60,673,,,,,,No,,,,,,,Debt Consolidation,0.2525,0.02104,Current,0.5716,PP-E,1,20000,20000,589.96,,0.5716,0
Prosper,PAR_2026_1,2478412,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,701,,,,,,No,,,,,,,Debt Consolidation,0.1104,0.0092,Current,0.2203,PP-A,0,30500,30500,663.75,,0.2203,0
Prosper,PAR_2026_1,2469191,12/31/2025,60,12/17/2025,1/17/2026,12/17/2030,0,60,652,,,,,,No,,,,,,,Debt Consolidation,0.2294,0.01912,Current,0.2538,PP-D,0,12000,12000,337.87,,0.2538,0
Prosper,PAR_2026_1,2468898,12/31/2025,60,12/17/2025,1/17/2026,12/17/2030,0,60,679,,,,,,No,,,,,,,Debt Consolidation,0.1912,0.01593,Current,0.1452,PP-D,0,11665.37,11665.37,303.38,,0.1452,0
Prosper,PAR_2026_1,2469616,12/31/2025,36,12/9/2025,1/9/2026,12/9/2028,0,36,741,,,,,,No,,,,,,,Household Expenses,0.2065,0.01721,Current,0.2097,PP-D,0,3000,3000,112.49,,0.2097,0
Prosper,PAR_2026_1,2473873,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,688,,,,,,No,,,,,,,Debt Consolidation,0.1374,0.01145,Current,0.2811,PP-B,0,12086.58,12086.58,279.61,,0.2811,0
Prosper,PAR_2026_1,2471676,12/31/2025,48,12/23/2025,1/23/2026,12/23/2029,0,48,713,,,,,,No,,,,,,,Debt Consolidation,0.293,0.02442,Current,0.3499,PP-E,0,6665.93,6665.93,237.31,,0.3499,0
Prosper,PAR_2026_1,2474146,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,659,,,,,,No,,,,,,,Other,0.1434,0.01195,Current,0.1115,PP-B,0,14284.14,14284.14,334.89,,0.1115,0
Prosper,PAR_2026_1,2481928,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,739,,,,,,No,,,,,,,Other,0.2317,0.01931,Current,0.2217,PP-D,0,7776.91,7776.91,220,,0.2217,0
Prosper,PAR_2026_1,2470529,12/31/2025,60,12/19/2025,1/19/2026,12/19/2030,0,60,641,,,,,,No,,,,,,,Debt Consolidation,0.2207,0.01839,Current,0.2397,PP-D,0,10000,10000,276.59,,0.2397,0
Prosper,PAR_2026_1,2472092,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,57,696,,,,,,No,,,,,,,Debt Consolidation,0.1806,0.01505,Current,0.1261,PP-C,0,18000,17505.91,457.67,,0.1261,0
Prosper,PAR_2026_1,2470523,12/31/2025,60,12/19/2025,1/19/2026,12/19/2030,0,60,710,,,,,,No,,,,,,,Debt Consolidation,0.1367,0.01139,Current,0.3449,PP-B,1,24000,24000,554.34,,0.3449,0
Prosper,PAR_2026_1,2481568,12/31/2025,36,12/30/2025,1/30/2026,12/30/2028,0,36,700,,,,,,No,,,,,,,Debt Consolidation,0.277,0.02308,Current,0.3296,PP-E,1,20000,20000,824.03,,0.3296,0
Prosper,PAR_2026_1,2472553,12/31/2025,60,12/15/2025,1/15/2026,12/15/2030,0,60,757,,,,,,No,,,,,,,Home Improvement,0.2426,0.02022,Current,0.0411,PP-D,0,32000,32000,925.41,,0.0411,0
Prosper,PAR_2026_1,2475078,12/31/2025,36,12/30/2025,1/30/2026,12/30/2028,0,36,651,,,,,,No,,,,,,,Debt Consolidation,0.145,0.01208,Current,0.2054,PP-B,0,18000,18000,619.58,,0.2054,0
Prosper,PAR_2026_1,2476281,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,708,,,,,,No,,,,,,,Other,0.1125,0.00938,Current,0.1116,PP-A,0,12498.64,12498.64,273.31,,0.1116,0
Prosper,PAR_2026_1,2476413,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,724,,,,,,No,,,,,,,Other,0.0839,0.00699,Current,0.2865,PP-AA,1,8151.29,8151.29,166.8,,0.2865,0
Prosper,PAR_2026_1,2473703,12/31/2025,60,12/26/2025,1/26/2026,12/26/2030,0,60,783,,,,,,No,,,,,,,Debt Consolidation,0.08,0.00667,Current,0.1965,PP-AA,1,19563.09,19563.09,396.67,,0.1965,0
Prosper,PAR_2026_1,2476437,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,621,,,,,,No,,,,,,,Debt Consolidation,0.2837,0.02364,Current,0.5518,PP-E,1,12000,12000,376.31,,0.5518,0
Prosper,PAR_2026_1,2469193,12/31/2025,48,12/9/2025,1/9/2026,12/9/2029,0,48,679,,,,,,No,,,,,,,Debt Consolidation,0.2145,0.01788,Current,0.2727,PP-D,1,3332.96,3332.96,104.02,,0.2727,0
Prosper,PAR_2026_1,2472361,12/31/2025,60,12/15/2025,1/15/2026,12/15/2030,0,60,651,,,,,,No,,,,,,,Debt Consolidation,0.2761,0.02301,Current,0.2908,PP-E,1,12000,12000,370.81,,0.2908,0
Prosper,PAR_2026_1,2480947,12/31/2025,48,12/30/2025,1/30/2026,12/30/2029,0,48,728,,,,,,No,,,,,,,Debt Consolidation,0.1016,0.00847,Current,0.331,PP-A,0,22500,22500,572.39,,0.331,0
Prosper,PAR_2026_1,2467278,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,688,,,,,,No,,,,,,,Debt Consolidation,0.1154,0.00962,Current,0.0571,PP-A,0,19563.09,19563.09,430.64,,0.0571,0
Prosper,PAR_2026_1,2472330,12/31/2025,60,12/23/2025,1/23/2026,12/23/2030,0,60,738,,,,,,No,,,,,,,Auto,0.1445,0.01204,Current,0.0813,PP-B,0,16481.71,16481.71,387.36,,0.0813,0
Prosper,PAR_2026_1,2463830,12/31/2025,60,12/9/2025,1/9/2026,12/9/2030,0,60,637,,,,,,No,,,,,,,Debt Consolidation,0.3025,0.02521,Current,0.1032,PP-E,1,20000,20000,650.14,,0.1032,0
Prosper,PAR_2026_1,2466178,12/31/2025,36,12/3/2025,1/3/2026,12/3/2028,0,36,627,,,,,,No,,,,,,,Home Improvement,0.2375,0.01979,Current,0.0962,PP-D,1,5000,5000,195.51,,0.0962,0
Prosper,PAR_2026_1,2482378,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,670,,,,,,No,,,,,,,Debt Consolidation,0.2491,0.02076,Current,0.3045,PP-D,1,14000,14000,410.18,,0.3045,0
Prosper,PAR_2026_1,2474607,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,691,,,,,,No,,,,,,,Debt Consolidation,0.2378,0.01982,Current,0.2453,PP-D,1,16664.82,16664.82,477.29,,0.2453,0
Prosper,PAR_2026_1,2461101,12/31/2025,48,12/4/2025,1/4/2026,12/4/2029,0,48,695,,,,,,No,,,,,,,Debt Consolidation,0.2206,0.01838,Current,0.2521,PP-C,1,13185.36,13185.36,415.85,,0.2521,0
Prosper,PAR_2026_1,2468979,12/31/2025,60,12/17/2025,1/17/2026,12/17/2030,0,60,653,,,,,,No,,,,,,,Debt Consolidation,0.2302,0.01918,Current,0.4624,PP-D,0,4000,4000,112.81,,0.4624,0
Prosper,PAR_2026_1,2460764,12/31/2025,60,12/4/2025,1/4/2026,12/4/2030,0,60,702,,,,,,No,,,,,,,Debt Consolidation,0.1092,0.0091,Current,0.4554,PP-A,1,17000,17000,368.94,,0.4554,0
Prosper,PAR_2026_1,2472558,12/31/2025,60,12/24/2025,1/24/2026,12/24/2030,0,60,669,,,,,,No,,,,,,,Other,0.121,0.01008,Current,0.129,PP-A,0,3500,3500,78.03,,0.129,0
Prosper,PAR_2026_1,2468024,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,674,,,,,,No,,,,,,,Debt Consolidation,0.1,0.00833,Current,0.1532,PP-A,0,11411.8,11411.8,242.47,,0.1532,0
Prosper,PAR_2026_1,2461688,12/31/2025,60,12/5/2025,1/5/2026,12/5/2030,0,60,739,,,,,,No,,,,,,,Debt Consolidation,0.1404,0.0117,Current,0.2561,PP-B,0,36000,36000,838.4,,0.2561,0
Prosper,PAR_2026_1,2472867,12/31/2025,60,12/24/2025,1/24/2026,12/24/2030,0,60,789,,,,,,No,,,,,,,Other,0.1636,0.01363,Current,0.0776,PP-B,0,12000,12000,294.12,,0.0776,0
Prosper,PAR_2026_1,2472307,12/31/2025,36,12/15/2025,1/15/2026,12/15/2028,0,36,696,,,,,,No,,,,,,,Debt Consolidation,0.277,0.02308,Current,0.2047,PP-E,0,20000,20000,824.03,,0.2047,0
Prosper,PAR_2026_1,2474120,12/31/2025,60,12/29/2025,1/29/2026,12/29/2030,0,60,626,,,,,,No,,,,,,,Home Improvement,0.2005,0.01671,Current,0.1091,PP-C,0,21975.61,21975.61,582.83,,0.1091,0
Prosper,PAR_2026_1,2472907,12/31/2025,60,12/16/2025,1/16/2026,12/16/2030,0,60,743,,,,,,No,,,,,,,Other,0.0934,0.00778,Current,0.2552,PP-A,0,7607.87,7607.87,159.19,,0.2552,0
Prosper,PAR_2026_1,2464693,12/31/2025,48,12/1/2025,1/1/2026,12/1/2029,0,48,697,,,,,,No,,,,,,,Debt Consolidation,0.132,0.011,Current,0.1766,PP-B,1,7691.46,7691.46,207.11,,0.1766,0
Prosper,PAR_2026_1,2476278,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,726,,,,,,No,,,,,,,Debt Consolidation,0.1147,0.00956,Current,0.2237,PP-A,1,13000,13000,285.71,,0.2237,0
Prosper,PAR_2026_1,2465409,12/31/2025,36,12/12/2025,1/12/2026,12/12/2028,0,36,714,,,,,,No,,,,,,,Debt Consolidation,0.1133,0.00944,Current,0.1153,PP-A,1,23000,23000,756.59,,0.1153,0
Prosper,PAR_2026_1,2465416,12/31/2025,60,12/2/2025,1/2/2026,12/2/2030,0,60,703,,,,,,No,,,,,,,Debt Consolidation,0.2381,0.01984,Current,0.3856,PP-D,1,15000,15000,429.87,,0.3856,0
Prosper,PAR_2026_1,2464329,12/31/2025,48,12/10/2025,1/10/2026,12/10/2029,0,48,696,,,,,,No,,,,,,,Debt Consolidation,0.1998,0.01665,Current,0.2693,PP-C,0,22000,22000,669.23,,0.2693,0
Prosper,PAR_2026_1,2480854,12/31/2025,60,12/30/2025,1/30/2026,12/30/2030,0,60,691,,,,,,No,,,,,,,Debt Consolidation,0.2116,0.01763,Current,0.1933,PP-D,0,27500,27500,746.44,,0.1933,0
Prosper,PAR_2026_1,2464761,12/31/2025,60,12/11/2025,1/11/2026,12/11/2030,0,60,698,,,,,,No,,,,,,,Home Improvement,0.0985,0.00821,Current,0.3397,PP-A,0,30000,30000,635.2,,0.3397,0
Prosper,PAR_2026_1,2482483,12/31/2025,60,12/31/2025,1/31/2026,12/31/2030,0,60,713,,,,,,No,,,,,,,Debt Consolidation,0.1122,0.00935,Current,0.0967,PP-A,0,16500,16500,360.56,,0.0967,0
Prosper,PAR_2026_1,2475631,12/31/2025,60,12/18/2025,1/18/2026,12/18/2030,0,60,655,,,,,,No,,,,,,,Debt Consolidation,0.1798,0.01498,Current,0.3025,PP-C,0,10987.8,10987.8,278.9,,0.3025,0
