vint_moyy,fico_bkt,fico_bkt_coupon
201605,[750+),0.0955364241478977
201606,[620-650),0.225868796309876
201606,[650-680),0.184764258826798
201606,[680-710),0.160107837492564
201606,[710-750),0.136965016932317
201606,[750+),0.101058894106138
201607,[620-650),0.208332590633905
201607,[650-680),0.18102538031917
201607,[680-710),0.156113293516068
201607,[710-750),0.13078986865944
201607,[750+),0.098464822133143
201608,[620-650),0.202739522679491
201608,[650-680),0.177152938151235
201608,[680-710),0.151931297453741
201608,[710-750),0.131940642866802
201608,[750+),0.097740692755027
201609,[620-650),0.191753215142862
201609,[650-680),0.168820288743192
201609,[680-710),0.149914751137947
201609,[710-750),0.127401355149511
201609,[750+),0.0961958463830062
201610,[620-650),0.198918556364926
201610,[650-680),0.173583347510542
201610,[680-710),0.151422920006351
201610,[710-750),0.125043898644991
201610,[750+),0.096770757074897
201611,[620-650),0.202644873893494
201611,[650-680),0.174098843630104
201611,[680-710),0.147799718541706
201611,[710-750),0.120253531044103
201611,[750+),0.0919235432955175
201612,[0-620),0.290691817360851
201612,[620-650),0.199093879425359
201612,[650-680),0.171204703733445
201612,[680-710),0.144884214337632
201612,[710-750),0.119478694575062
201612,[750+),0.0896072150709091
201701,[0-620),0.250475173454836
201701,[620-650),0.219005606680099
201701,[650-680),0.184298491502327
201701,[680-710),0.163078101143398
201701,[710-750),0.131063570114781
201701,[750+),0.0970363952037115
201702,[0-620),0.229863102723499
201702,[620-650),0.213158126526858
201702,[650-680),0.184233570335751
201702,[680-710),0.160989142400398
201702,[710-750),0.128904023729559
201702,[750+),0.0958203695748725
201703,[0-620),0.222035946342784
201703,[620-650),0.211490269807535
201703,[650-680),0.181054144482216
201703,[680-710),0.160074952942153
201703,[710-750),0.125398303897022
201703,[750+),0.0958664706843916
201704,[0-620),0.204336452513967
201704,[620-650),0.218137040930781
201704,[650-680),0.184546629430104
201704,[680-710),0.162758533620202
201704,[710-750),0.129097523614264
201704,[750+),0.0980067231454846
201705,[0-620),0.2799
201705,[620-650),0.221960254140128
201705,[650-680),0.188209418465456
201705,[680-710),0.163537668975121
201705,[710-750),0.128971541539847
201705,[750+),0.0958436583267503
201706,[0-620),0.2799
201706,[620-650),0.219099187369765
201706,[650-680),0.187367129737939
201706,[680-710),0.162992347801348
201706,[710-750),0.12908768260655
201706,[750+),0.0934697654949253
201707,[0-620),0.2799
201707,[620-650),0.214279923202968
201707,[650-680),0.182422560348475
201707,[680-710),0.160393411634883
201707,[710-750),0.127028396021363
201707,[750+),0.0944150070502089
201708,[0-620),0.2799
201708,[620-650),0.215252967640221
201708,[650-680),0.18292492758967
201708,[680-710),0.160728777362166
201708,[710-750),0.125523699090361
201708,[750+),0.0923651899565614
201709,[620-650),0.208457665372078
201709,[650-680),0.17881013573006
201709,[680-710),0.158523072597816
201709,[710-750),0.124105892058411
201709,[750+),0.0916427710868894
201710,[620-650),0.206490060626925
201710,[650-680),0.177190074072751
201710,[680-710),0.15820214316177
201710,[710-750),0.124829974749167
201710,[750+),0.0913021457452049
201711,[620-650),0.203355809506813
201711,[650-680),0.174445530206167
201711,[680-710),0.155793565755522
201711,[710-750),0.121275463655504
201711,[750+),0.0906449837235616
201712,[620-650),0.197820157682567
201712,[650-680),0.174856224469031
201712,[680-710),0.15425593217409
201712,[710-750),0.120172636224673
201712,[750+),0.088516764567054
201801,[620-650),0.19429961970505
201801,[650-680),0.170714185907135
201801,[680-710),0.152862560396321
201801,[710-750),0.11898260996744
201801,[750+),0.0853501005934555
201802,[0-620),0.188451136363636
201802,[620-650),0.19699664116849
201802,[650-680),0.170998807598486
201802,[680-710),0.151169943737364
201802,[710-750),0.117620512924132
201802,[750+),0.0872928062457876
201803,[0-620),0.15095306122449
201803,[620-650),0.202720571356163
201803,[650-680),0.172537728408856
201803,[680-710),0.151469335918079
201803,[710-750),0.117527812824053
201803,[750+),0.0883678265721322
201804,[0-620),0.162914
201804,[620-650),0.200003249974447
201804,[650-680),0.173677111536866
201804,[680-710),0.151257899895316
201804,[710-750),0.117827311234359
201804,[750+),0.0889535123691705
201805,[0-620),0.155690505464481
201805,[620-650),0.19658324155963
201805,[650-680),0.171793541895041
201805,[680-710),0.151025284032732
201805,[710-750),0.120523827064168
201805,[750+),0.08874424784903
201806,[0-620),0.189687884012689
201806,[620-650),0.195399386114418
201806,[650-680),0.17246702747862
201806,[680-710),0.15252524630747
201806,[710-750),0.12021932054033
201806,[750+),0.0901152642223333
201807,[0-620),0.201522379605134
201807,[620-650),0.205528461773908
201807,[650-680),0.181312043029955
201807,[680-710),0.156045491380273
201807,[710-750),0.122032633576369
201807,[750+),0.0911248892720992
201808,[0-620),0.197525295293908
201808,[620-650),0.202771634812801
201808,[650-680),0.177633505965167
201808,[680-710),0.154852344587064
201808,[710-750),0.122412885540189
201808,[750+),0.0905126297682271
201809,[0-620),0.19712355702011
201809,[620-650),0.201921748019765
201809,[650-680),0.17955927270104
201809,[680-710),0.155932742329313
201809,[710-750),0.122550140477052
201809,[750+),0.0902182275436327
201810,[0-620),0.198102713641955
201810,[620-650),0.200323841799896
201810,[650-680),0.181412117019494
201810,[680-710),0.157539686566671
201810,[710-750),0.124013930246701
201810,[750+),0.0891655819264815
201811,[0-620),0.183607712405382
201811,[620-650),0.199177195594286
201811,[650-680),0.179411619345747
201811,[680-710),0.158077314023181
201811,[710-750),0.124843811202509
201811,[750+),0.0925190087088896
201812,[0-620),0.19670969393017
201812,[620-650),0.197766219819352
201812,[650-680),0.179499882758172
201812,[680-710),0.158912816778107
201812,[710-750),0.125305199184987
201812,[750+),0.0932287914224609
201901,[0-620),0.190186240660552
201901,[620-650),0.198975187448988
201901,[650-680),0.179738465054809
201901,[680-710),0.157348361361657
201901,[710-750),0.124648906398995
201901,[750+),0.0936477052201925
201902,[0-620),0.200240624341507
201902,[620-650),0.19889832812247
201902,[650-680),0.176196559574728
201902,[680-710),0.156856080883003
201902,[710-750),0.124345636611459
201902,[750+),0.0925140390049894
201903,[0-620),0.198233816247937
201903,[620-650),0.199209692984872
201903,[650-680),0.176134832359629
201903,[680-710),0.156545555677949
201903,[710-750),0.124313602275055
201903,[750+),0.0924267981998902
201904,[0-620),0.204806025080479
201904,[620-650),0.198551572046786
201904,[650-680),0.177663041244838
201904,[680-710),0.158201683934225
201904,[710-750),0.125386059625467
201904,[750+),0.094622298053998
201905,[0-620),0.205081485600338
201905,[620-650),0.200420614489733
201905,[650-680),0.180214348417953
201905,[680-710),0.158756093430769
201905,[710-750),0.127696499700115
201905,[750+),0.0956675038258439
201906,[0-620),0.206450527427469
201906,[620-650),0.203722293135988
201906,[650-680),0.183033331220449
201906,[680-710),0.160716563970194
201906,[710-750),0.13065805825405
201906,[750+),0.0960256853863779
201907,[0-620),0.208002782398543
201907,[620-650),0.201056578186493
201907,[650-680),0.181128392876679
201907,[680-710),0.159226850346816
201907,[710-750),0.129361134982841
201907,[750+),0.0955985202279805
201908,[0-620),0.195653146298284
201908,[620-650),0.19705431475591
201908,[650-680),0.177912136829631
201908,[680-710),0.156728855517612
201908,[710-750),0.128211047015661
201908,[750+),0.0966096651054852
201909,[0-620),0.200821110762625
201909,[620-650),0.195963470235671
201909,[650-680),0.178474301202991
201909,[680-710),0.156077335000505
201909,[710-750),0.128699360837545
201909,[750+),0.0970842281328704
201910,[0-620),0.199429310023345
201910,[620-650),0.193533794029764
201910,[650-680),0.175859068868971
201910,[680-710),0.15615932774003
201910,[710-750),0.128783063334306
201910,[750+),0.0980801420766784
201911,[0-620),0.201489291992436
201911,[620-650),0.190620844177792
201911,[650-680),0.172495616444483
201911,[680-710),0.151811989772986
201911,[710-750),0.125793251993266
201911,[750+),0.0984599673048458
201912,[0-620),0.202831764564086
201912,[620-650),0.192573751037582
201912,[650-680),0.17272040901269
201912,[680-710),0.152085525760316
201912,[710-750),0.125349778240515
201912,[750+),0.0979152425699472
202001,[0-620),0.200033100766373
202001,[620-650),0.188165140998141
202001,[650-680),0.170619680269078
202001,[680-710),0.148695313767288
202001,[710-750),0.122833126512885
202001,[750+),0.097509718723661
202002,[0-620),0.206783223123767
202002,[620-650),0.192123733932423
202002,[650-680),0.17173583747049
202002,[680-710),0.149210865463532
202002,[710-750),0.124038278284546
202002,[750+),0.0985354623096923
202003,[0-620),0.218144298138456
202003,[620-650),0.199363469083962
202003,[650-680),0.173286366432057
202003,[680-710),0.151125502894625
202003,[710-750),0.124226446829142
202003,[750+),0.0978744225330603
202004,[0-620),0.265011425462459
202004,[620-650),0.213881427068242
202004,[650-680),0.17420804388545
202004,[680-710),0.153278629055287
202004,[710-750),0.123342820957674
202004,[750+),0.0985858204388528
202005,[0-620),0.239315685250643
202005,[620-650),0.200117646396189
202005,[650-680),0.174675574387748
202005,[680-710),0.148461453586154
202005,[710-750),0.120543689546366
202005,[750+),0.0984141413620847
202006,[0-620),0.238004106809957
202006,[620-650),0.206732422214246
202006,[650-680),0.189110274451233
202006,[680-710),0.163111185743119
202006,[710-750),0.134316102279858
202006,[750+),0.103177423413425
202007,[0-620),0.237167776403136
202007,[620-650),0.219365579432437
202007,[650-680),0.196484547455896
202007,[680-710),0.169814619741379
202007,[710-750),0.1399802436061
