source_platform,vint_moyy,fico_bkt,fico_bkt_coupon
Marlette,202006,[710-750),0.135841869309115
Marlette,202006,[750+),0.101619431147564
Marlette,202007,[620-650),0.200134153765071
Marlette,202007,[650-680),0.182343407562506
Marlette,202007,[680-710),0.156951502237512
Marlette,202007,[710-750),0.136356944409554
Marlette,202007,[750+),0.105678180068987
Marlette,202008,[620-650),0.215929783116703
Marlette,202008,[650-680),0.183017453282508
Marlette,202008,[680-710),0.15341624121134
Marlette,202008,[710-750),0.136850776628027
Marlette,202008,[750+),0.102453272104043
Marlette,202009,[620-650),0.206940360351016
Marlette,202009,[650-680),0.171366167055867
Marlette,202009,[680-710),0.150085939755518
Marlette,202009,[710-750),0.130330951584847
Marlette,202009,[750+),0.100452608096736
Marlette,202010,[620-650),0.197710712622986
Marlette,202010,[650-680),0.170911397984152
Marlette,202010,[680-710),0.148734328172812
Marlette,202010,[710-750),0.128827409117261
Marlette,202010,[750+),0.0957219683780526
Marlette,202011,[620-650),0.212805891127977
Marlette,202011,[650-680),0.175675010430905
Marlette,202011,[680-710),0.149580266006821
Marlette,202011,[710-750),0.129458771727825
Marlette,202011,[750+),0.0975074754252687
Marlette,202012,[620-650),0.2074706638919
Marlette,202012,[650-680),0.171635045612916
Marlette,202012,[680-710),0.14266947287819
Marlette,202012,[710-750),0.115523588527424
Marlette,202012,[750+),0.0904683977299644
Marlette,202101,[620-650),0.211543231417377
Marlette,202101,[650-680),0.166018325996736
Marlette,202101,[680-710),0.136742774823501
Marlette,202101,[710-750),0.11371983939252
Marlette,202101,[750+),0.08834840453003
Marlette,202102,[620-650),0.202392751496656
Marlette,202102,[650-680),0.167811559338198
Marlette,202102,[680-710),0.137535921359976
Marlette,202102,[710-750),0.114050069939543
Marlette,202102,[750+),0.0868390436240058
Marlette,202103,[620-650),0.191305194372581
Marlette,202103,[650-680),0.159920804874839
Marlette,202103,[680-710),0.130917109251581
Marlette,202103,[710-750),0.10712327717657
Marlette,202103,[750+),0.0834778120586852
Marlette,202104,[620-650),0.191841336318729
Marlette,202104,[650-680),0.161831172847409
Marlette,202104,[680-710),0.13341705152505
Marlette,202104,[710-750),0.108994690590244
Marlette,202104,[750+),0.0843446798808809
Marlette,202105,[620-650),0.192757173108023
Marlette,202105,[650-680),0.161356006590419
Marlette,202105,[680-710),0.133096858456415
Marlette,202105,[710-750),0.109599040414188
Marlette,202105,[750+),0.0833574221554229
Marlette,202106,[620-650),0.191333059921126
Marlette,202106,[650-680),0.161403766847574
Marlette,202106,[680-710),0.134495083201397
Marlette,202106,[710-750),0.112294983970767
Marlette,202106,[750+),0.0838603757537325
Marlette,202107,[620-650),0.193609999416528
Marlette,202107,[650-680),0.160529792164888
Marlette,202107,[680-710),0.131435497304951
Marlette,202107,[710-750),0.106560675614406
Marlette,202107,[750+),0.0823618609104817
Marlette,202108,[620-650),0.196757328436143
Marlette,202108,[650-680),0.160882532702694
Marlette,202108,[680-710),0.129421949250463
Marlette,202108,[710-750),0.106428637006996
Marlette,202108,[750+),0.0831689160814937
Marlette,202109,[620-650),0.193189712686523
Marlette,202109,[650-680),0.165915540652491
Marlette,202109,[680-710),0.133437163939812
Marlette,202109,[710-750),0.108732788918102
Marlette,202109,[750+),0.0848973782113092
Marlette,202110,[620-650),0.19630566524269
Marlette,202110,[650-680),0.170732948704139
Marlette,202110,[680-710),0.139469471759617
Marlette,202110,[710-750),0.113145325653808
Marlette,202110,[750+),0.0869344326953393
Marlette,202111,[620-650),0.195390814871298
Marlette,202111,[650-680),0.170334450417269
Marlette,202111,[680-710),0.138652326995981
Marlette,202111,[710-750),0.111428980688354
Marlette,202111,[750+),0.0836188200789104
Marlette,202112,[620-650),0.197179366052409
Marlette,202112,[650-680),0.17041632633807
Marlette,202112,[680-710),0.135266182692003
Marlette,202112,[710-750),0.105687818484237
Marlette,202112,[750+),0.0788245032623512
Marlette,202201,[620-650),0.196314966968372
Marlette,202201,[650-680),0.168565678170946
Marlette,202201,[680-710),0.132082824836855
Marlette,202201,[710-750),0.101722729281546
Marlette,202201,[750+),0.0756192516094693
Marlette,202202,[620-650),0.201956474173156
Marlette,202202,[650-680),0.168962824924998
Marlette,202202,[680-710),0.133066637381668
Marlette,202202,[710-750),0.102973105327311
Marlette,202202,[750+),0.0772504240750316
Marlette,202203,[620-650),0.199842746295886
Marlette,202203,[650-680),0.171190024977855
Marlette,202203,[680-710),0.132566965635137
Marlette,202203,[710-750),0.103251387409297
Marlette,202203,[750+),0.0767694055265398
Marlette,202204,[620-650),0.204696279219885
Marlette,202204,[650-680),0.17329165231821
Marlette,202204,[680-710),0.135500903654516
Marlette,202204,[710-750),0.104444468476511
Marlette,202204,[750+),0.0791772420926367
Marlette,202205,[620-650),0.211575195296041
Marlette,202205,[650-680),0.178250136909418
Marlette,202205,[680-710),0.140111716073108
Marlette,202205,[710-750),0.110102053502781
Marlette,202205,[750+),0.0835759687173067
Marlette,202206,[620-650),0.216091586207795
Marlette,202206,[650-680),0.18455228303521
Marlette,202206,[680-710),0.146344805740353
Marlette,202206,[710-750),0.114033026536168
Marlette,202206,[750+),0.0848918226004789
Marlette,202207,[620-650),0.226801344834523
Marlette,202207,[650-680),0.197739732263591
Marlette,202207,[680-710),0.158216152439677
Marlette,202207,[710-750),0.124209026359032
Marlette,202207,[750+),0.0944516677501357
Marlette,202208,[620-650),0.236186971396221
Marlette,202208,[650-680),0.196959671084929
Marlette,202208,[680-710),0.161230489718917
Marlette,202208,[710-750),0.127105324555639
Marlette,202208,[750+),0.0986699470606874
Marlette,202209,[620-650),0.231648836618769
Marlette,202209,[650-680),0.195121725888821
Marlette,202209,[680-710),0.158910963290028
Marlette,202209,[710-750),0.127353412661828
Marlette,202209,[750+),0.0988182153259843
Marlette,202210,[620-650),0.22865443267412
Marlette,202210,[650-680),0.19274955774243
Marlette,202210,[680-710),0.159949576317027
Marlette,202210,[710-750),0.126742890974166
Marlette,202210,[750+),0.0966676043799805
Marlette,202211,[620-650),0.241887267557673
Marlette,202211,[650-680),0.200195459249612
Marlette,202211,[680-710),0.163387827301382
Marlette,202211,[710-750),0.127983049369655
Marlette,202211,[750+),0.098208568608882
Marlette,202212,[620-650),0.248483795949029
Marlette,202212,[650-680),0.206926214160443
Marlette,202212,[680-710),0.169513846499192
Marlette,202212,[710-750),0.133061146696561
Marlette,202212,[750+),0.108607419694144
Marlette,202301,[620-650),0.248976835778497
Marlette,202301,[650-680),0.200787462054267
Marlette,202301,[680-710),0.166196413428986
Marlette,202301,[710-750),0.134148087557674
Marlette,202301,[750+),0.110862871865984
Marlette,202302,[620-650),0.243350891875567
Marlette,202302,[650-680),0.20885926894618
Marlette,202302,[680-710),0.182497806050086
Marlette,202302,[710-750),0.153166708550032
Marlette,202302,[750+),0.1238779823394
Marlette,202303,[620-650),0.246149052296711
Marlette,202303,[650-680),0.212441619116908
Marlette,202303,[680-710),0.192109180792518
Marlette,202303,[710-750),0.167768108817259
Marlette,202303,[750+),0.124701302379568
Marlette,202304,[620-650),0.247588501926576
Marlette,202304,[650-680),0.206717713630653
Marlette,202304,[680-710),0.186624776966797
Marlette,202304,[710-750),0.162468872371232
Marlette,202304,[750+),0.124688697540979
Marlette,202305,[620-650),0.252996186464933
Marlette,202305,[650-680),0.201446272572933
Marlette,202305,[680-710),0.180391572631961
Marlette,202305,[710-750),0.154862399134881
Marlette,202305,[750+),0.120143210640785
Marlette,202306,[620-650),0.254256629768376
Marlette,202306,[650-680),0.206088352798517
Marlette,202306,[680-710),0.180687716814144
Marlette,202306,[710-750),0.153793870873391
Marlette,202306,[750+),0.11942945673438
Marlette,202307,[620-650),0.254695692222046
Marlette,202307,[650-680),0.205745627501998
Marlette,202307,[680-710),0.180575510754422
Marlette,202307,[710-750),0.150498470402071
Marlette,202307,[750+),0.11631067855758
Marlette,202308,[620-650),0.256659558625715
Marlette,202308,[650-680),0.203199601432919
Marlette,202308,[680-710),0.17850480912318
Marlette,202308,[710-750),0.150067125295559
Marlette,202308,[750+),0.116034441498896
Marlette,202309,[620-650),0.255411124615191
Marlette,202309,[650-680),0.203737774481941
Marlette,202309,[680-710),0.175865625560326
Marlette,202309,[710-750),0.147636932363786
Marlette,202309,[750+),0.112909128757191
Marlette,202310,[620-650),0.250306400186469
Marlette,202310,[650-680),0.199410917167522
Marlette,202310,[680-710),0.173438915520506
Marlette,202310,[710-750),0.149979273227745
Marlette,202310,[750+),0.114798896666347
Marlette,202311,[620-650),0.255499567489329
Marlette,202311,[650-680),0.20015185079453
Marlette,202311,[680-710),0.178772572940261
Marlette,202311,[710-750),0.14867434493054
Marlette,202311,[750+),0.119977368692322
Marlette,202312,[620-650),0.240611468240719
