vint_moyy,fico_bkt,fico_bkt_coupon
201603,580-620,0.10697835365853658
201603,620-660,0.07846286775207084
201603,660-700,0.05901778555219365
201603,700-740,0.038924763722282804
201603,740+,0.02492950028940768
201603,<540,0.05478114754098361
201604,540-580,0.06570448430493274
201604,580-620,0.10462655172413794
201604,620-660,0.07608228990411732
201604,660-700,0.058330804597701146
201604,700-740,0.03774979530453672
201604,740+,0.023367776682624613
201604,<540,0.052889898989898994
201605,540-580,0.06940646464646465
201605,580-620,0.1032177966101695
201605,620-660,0.07162455026455027
201605,660-700,0.055939626538163666
201605,700-740,0.036979083570750235
201605,740+,0.021679849000740194
201605,<540,0.05626309226932668
201606,540-580,0.07369347408829174
201606,580-620,0.1035562002275313
201606,620-660,0.07346474155356628
201606,660-700,0.058344228213404216
201606,700-740,0.03937817934782609
201606,740+,0.023599765545361875
201606,<540,0.05473942652329749
201607,540-580,0.07689031078610603
201607,580-620,0.10671840215439855
201607,620-660,0.07353700986592461
201607,660-700,0.057304835893854746
201607,700-740,0.03803179099779666
201607,740+,0.02342961998654302
201607,<540,0.05886220779220779
201608,540-580,0.09161910447761194
201608,580-620,0.10799447300771209
201608,620-660,0.080001426187225
201608,660-700,0.057429128986197044
201608,700-740,0.036349220867208674
201608,740+,0.022360803318411435
201608,<540,0.06904204204204203
201609,540-580,0.09866287051482059
201609,580-620,0.11028721212121213
201609,620-660,0.08306601206520343
201609,660-700,0.05964114145205125
201609,700-740,0.03854037186038926
201609,740+,0.02372312515317376
201609,<540,0.07288646543330088
201610,540-580,0.10151362229102166
201610,580-620,0.10940348735832607
201610,620-660,0.08435928515928516
201610,660-700,0.06112223265169293
201610,700-740,0.040904113434545974
201610,740+,0.025352459121513307
201610,<540,0.07163256704980843
201611,540-580,0.10071393143690736
201611,580-620,0.10783516022761305
201611,620-660,0.08322031491997936
201611,660-700,0.06017081116584565
201611,700-740,0.039773901673640165
201611,740+,0.023919649698960044
201611,<540,0.06852091324200914
201612,540-580,0.09361224358974359
201612,580-620,0.10584513395297977
201612,620-660,0.0820254078978482
201612,660-700,0.059603311927696516
201612,700-740,0.03974431028359799
201612,740+,0.024484813668914692
201612,<540,0.06214982578397213
201701,540-580,0.10772481804949054
201701,580-620,0.10939963998892274
201701,620-660,0.08699533495736907
201701,660-700,0.06432346628741355
201701,700-740,0.044153258883883884
201701,740+,0.028330461109642695
201701,<540,0.07467272727272727
201702,540-580,0.10172693474962063
201702,580-620,0.10773003780168654
201702,620-660,0.08729851358277807
201702,660-700,0.06611025641025642
201702,700-740,0.046692885757701336
201702,740+,0.030311573379863135
201702,<540,0.07852358604091457
201703,540-580,0.10048924187725633
201703,580-620,0.1079015944645006
201703,620-660,0.08924954061006983
201703,660-700,0.06663272311212814
201703,700-740,0.04720716083564057
201703,740+,0.03095857813362783
201703,<540,0.07561308108108107
201704,540-580,0.09936789473684211
201704,580-620,0.10943632168754121
201704,620-660,0.08792231118227917
201704,660-700,0.06592189349112426
201704,700-740,0.045722183053454685
201704,740+,0.028478279759200364
201704,<540,0.07284033214709372
201705,540-580,0.0979311992786294
201705,580-620,0.10903529853548628
201705,620-660,0.08571915511551155
201705,660-700,0.06407255141388174
201705,700-740,0.04468023249055507
201705,740+,0.0279613136471659
201705,<540,0.07124445797807552
201706,540-580,0.0966874060150376
201706,580-620,0.1091011328125
201706,620-660,0.08658327070494513
201706,660-700,0.06518116969428445
201706,700-740,0.04548309799491669
201706,740+,0.028669261496492595
201706,<540,0.06961036269430053
201707,540-580,0.10174817586529467
201707,580-620,0.10998914248451255
201707,620-660,0.08662079436258809
201707,660-700,0.06457241807024416
201707,700-740,0.04363201466963266
201707,740+,0.02779533469596321
201707,<540,0.07072690140845071
201708,540-580,0.10102190179267341
201708,580-620,0.10969618204031766
201708,620-660,0.08866552317717939
201708,660-700,0.0666300243948208
201708,700-740,0.04542389426399447
201708,740+,0.02976959199211752
201708,<540,0.07180244498777506
201709,540-580,0.10289006622516557
201709,580-620,0.11128047976011994
201709,620-660,0.08919660600098377
201709,660-700,0.06621967868935738
201709,700-740,0.04509682129551737
201709,740+,0.02872836674926785
201709,<540,0.07273900621118012
201710,540-580,0.10228528
201710,580-620,0.11138084314941103
201710,620-660,0.0903625115909392
201710,660-700,0.06832291569632044
201710,700-740,0.04794688170644469
201710,740+,0.030450112093503613
201710,<540,0.07152503022974607
201711,540-580,0.09910924956369982
201711,580-620,0.1107735628342246
201711,620-660,0.08902235327963177
201711,660-700,0.06648298569933729
201711,700-740,0.04634880237545365
201711,740+,0.029287616937469226
201711,<540,0.07068650602409639
201712,540-580,0.0994817472698908
201712,580-620,0.11292736227654142
201712,620-660,0.08762609970674487
201712,660-700,0.06479591823056301
201712,700-740,0.04430854675042281
201712,740+,0.02854768380417617
201712,<540,0.06315261756876664
201801,540-580,0.10670139494333042
201801,580-620,0.11442240549828178
201801,620-660,0.0903802055001511
201801,660-700,0.06831293939602394
201801,700-740,0.047640175914291386
201801,740+,0.03026711771607352
201801,<540,0.07683840206185567
