Status	term	grade	C	D1M	D2M	D3M	D4M	PIF	LIQ
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
C	36	7.0-9.0	1.0	6.406000	1.0	1.0	1.0	1.637000	1.0
			1.0	2.995000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.663000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.300000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.637000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
			1.0	1.000000	1.0	1.0	1.0	1.000000	1.0
C	60	0.0-1.9	1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.581000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
			1.0	0.557000	1.0	1.0	1.0	1.000000	1.0
